ensembl_id,gene_symbol,description,hg_chr,hg_start,hg_stop
ENSG00000127184,COX7C,cytochrome c oxidase subunit VIIc,chr5,85913783,85916583
ENSG00000106554,CHCHD3,coiled-coil-helix-coiled-coil-helix domain containing 3,chr7,132469622,132766828
ENSG00000115520,COQ10B,coenzyme Q10 homolog B (S. cerevisiae),chr2,198318230,198339851
ENSG00000176715,ACSF3,acyl-CoA synthetase family member 3,chr16,89160216,89222254
ENSG00000004142,POLDIP2,"polymerase (DNA-directed), delta interacting protein 2",chr17,26673658,26684603
ENSG00000183048,SLC25A10,"solute carrier family 25 (mitochondrial carrier; dicarboxylate transporter), member 10",chr17,79679265,79688046
ENSG00000004864,SLC25A13,"solute carrier family 25 (aspartate/glutamate carrier), member 13",chr7,95749531,95951459
ENSG00000067992,PDK3,"pyruvate dehydrogenase kinase, isozyme 3",chrX,24483343,24568583
ENSG00000151376,ME3,"malic enzyme 3, NADP(+)-dependent, mitochondrial",chr11,86152149,86383678
ENSG00000082515,MRPL22,mitochondrial ribosomal protein L22,chr5,154320632,154348971
ENSG00000182054,IDH2,"isocitrate dehydrogenase 2 (NADP+), mitochondrial",chr15,90627210,90645708
ENSG00000105607,GCDH,glutaryl-CoA dehydrogenase,chr19,13001942,13010813
ENSG00000136522,MRPL47,mitochondrial ribosomal protein L47,chr3,179306254,179322434
ENSG00000138777,PPA2,pyrophosphatase (inorganic) 2,chr4,106290233,106395227
ENSG00000143436,MRPL9,mitochondrial ribosomal protein L9,chr1,151732122,151736040
ENSG00000250479,CHCHD10,coiled-coil-helix-coiled-coil-helix domain containing 10,chr22,24108020,24110141
ENSG00000116874,WARS2,"tryptophanyl tRNA synthetase 2, mitochondrial",chr1,119573838,119683295
ENSG00000125454,SLC25A19,"solute carrier family 25 (mitochondrial thiamine pyrophosphate carrier), member 19",chr17,73269060,73285530
ENSG00000145439,CBR4,carbonyl reductase 4,chr4,169908741,169931468
ENSG00000183172,SMDT1,single-pass membrane protein with aspartate-rich tail 1,chr22,42475694,42480288
ENSG00000063854,HAGH,hydroxyacylglutathione hydrolase,chr16,1859103,1877195
ENSG00000161281,COX7A1,cytochrome c oxidase subunit VIIa polypeptide 1 (muscle),chr19,36641823,36643771
ENSG00000148824,MTG1,mitochondrial ribosome-associated GTPase 1,chr10,135207620,135234174
ENSG00000178449,COX14,cytochrome c oxidase assembly homolog 14 (S. cerevisiae),chr12,50505763,50514240
ENSG00000184752,NDUFA12,"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 12",chr12,95365103,95397489
ENSG00000182180,MRPS16,mitochondrial ribosomal protein S16,chr10,75008600,75012451
ENSG00000120832,MTERFD3,MTERF domain containing 3,chr12,107371068,107380944
ENSG00000205707,LYRM5,LYR motif containing 5,chr12,25348149,25357949
ENSG00000115159,GPD2,glycerol-3-phosphate dehydrogenase 2 (mitochondrial),chr2,157291964,157442915
ENSG00000130414,NDUFA10,"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 10, 42kDa",chr2,240896788,240964819
ENSG00000151366,NDUFC2,"NADH dehydrogenase (ubiquinone) 1, subcomplex unknown, 2, 14.5kDa",chr11,77779392,77791265
ENSG00000119705,SLIRP,SRA stem-loop interacting RNA binding protein,chr14,78174413,78183941
ENSG00000198899,ATP6,ATP synthase F0 subunit 6,chrM,8527,9207
ENSG00000198712,COX2,cytochrome c oxidase subunit II,chrM,7586,8269
ENSG00000075336,TIMM21,translocase of inner mitochondrial membrane 21 homolog (yeast),chr18,71815745,71826204
ENSG00000119421,NDUFA8,"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 8, 19kDa",chr9,124906337,124922098
ENSG00000115419,GLS,glutaminase,chr2,191745546,191830270
ENSG00000147123,NDUFB11,"NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 11, 17.3kDa",chrX,47001614,47004609
ENSG00000181192,DHTKD1,dehydrogenase E1 and transketolase domain containing 1,chr10,12110915,12165227
ENSG00000115042,FAHD2A,fumarylacetoacetate hydrolase domain containing 2A,chr2,96068447,96078879
ENSG00000112474,HSD17B8,hydroxysteroid (17-beta) dehydrogenase 8,chr6,33172413,33174608
ENSG00000137133,HINT2,histidine triad nucleotide binding protein 2,chr9,35812956,35815042
ENSG00000144029,MRPS5,mitochondrial ribosomal protein S5,chr2,95752951,95787754
ENSG00000204564,C6orf136,chromosome 6 open reading frame 136,chr6,30614815,30620987
ENSG00000176422,SPRYD4,SPRY domain containing 4,chr12,56862300,56864767
ENSG00000175536,LIPT2,lipoyl(octanoyl) transferase 2 (putative),chr11,74202922,74204755
ENSG00000104325,DECR1,"2,4-dienoyl CoA reductase 1, mitochondrial",chr8,91013579,91064227
ENSG00000125901,MRPS26,mitochondrial ribosomal protein S26,chr20,3026674,3028896
ENSG00000102743,SLC25A15,solute carrier family 25 (mitochondrial carrier; ornithine transporter) member 15,chr13,41363546,41386596
ENSG00000160194,NDUFV3,"NADH dehydrogenase (ubiquinone) flavoprotein 3, 10kDa",chr21,44313377,44329773
ENSG00000137274,BPHL,biphenyl hydrolase-like (serine hydrolase),chr6,3118925,3153432
ENSG00000165283,STOML2,stomatin (EPB72)-like 2,chr9,35099772,35103192
ENSG00000148450,MSRB2,methionine sulfoxide reductase B2,chr10,23384426,23410942
ENSG00000103642,LACTB,"lactamase, beta",chr15,63413998,63434264
ENSG00000130204,TOMM40,translocase of outer mitochondrial membrane 40 homolog (yeast),chr19,45394476,45406946
ENSG00000148339,SLC25A25,"solute carrier family 25 (mitochondrial carrier; phosphate carrier), member 25",chr9,130830478,130871537
ENSG00000173137,ADCK5,aarF domain containing kinase 5,chr8,145597703,145618453
ENSG00000111271,ACAD10,"acyl-CoA dehydrogenase family, member 10",chr12,112123856,112194911
ENSG00000102763,VWA8,von Willebrand factor A domain containing 8,chr13,42140960,42535221
ENSG00000137500,CCDC90B,coiled-coil domain containing 90B,chr11,82970134,82997450
ENSG00000007923,DNAJC11,"DnaJ (Hsp40) homolog, subfamily C, member 11",chr1,6694227,6761966
ENSG00000125652,ALKBH7,"alkB, alkylation repair homolog 7 (E. coli)",chr19,6372443,6375261
ENSG00000178445,GLDC,glycine dehydrogenase (decarboxylating),chr9,6532463,6645692
,MPC1L,mitochondrial pyruvate carrier 1-like,chrX,40482817,40483391
ENSG00000159445,THEM4,thioesterase superfamily member 4,chr1,151843342,151882361
ENSG00000106028,SSBP1,"single-stranded DNA binding protein 1, mitochondrial",chr7,141438120,141450288
ENSG00000108826,MRPL27,mitochondrial ribosomal protein L27,chr17,48445227,48450562
ENSG00000100209,HSCB,HscB mitochondrial iron-sulfur cluster co-chaperone,chr22,29138042,29153496
ENSG00000048544,MRPS10,mitochondrial ribosomal protein S10,chr6,42174538,42185633
ENSG00000162433,AK4,adenylate kinase 4,chr1,65613231,65697828
ENSG00000197785,ATAD3A,"ATPase family, AAA domain containing 3A",chr1,1447522,1470067
ENSG00000116221,MRPL37,mitochondrial ribosomal protein L37,chr1,54665839,54684056
ENSG00000148334,PTGES2,prostaglandin E synthase 2,chr9,130882971,130890741
ENSG00000184470,TXNRD2,thioredoxin reductase 2,chr22,19863040,19929515
ENSG00000183549,ACSM5,acyl-CoA synthetase medium-chain family member 5,chr16,20420855,20452281
ENSG00000122873,CISD1,CDGSH iron sulfur domain 1,chr10,60028861,60049019
ENSG00000182154,MRPL41,mitochondrial ribosomal protein L41,chr9,140446308,140447007
ENSG00000117791,MARC2,mitochondrial amidoxime reducing component 2,chr1,220921675,220957596
ENSG00000243927,MRPS6,mitochondrial ribosomal protein S6,chr21,35445822,35515334
ENSG00000214026,MRPL23,mitochondrial ribosomal protein L23,chr11,1968501,1977839
ENSG00000137767,SQRDL,sulfide quinone reductase-like (yeast),chr15,45923345,45983492
ENSG00000133028,SCO1,SCO1 cytochrome c oxidase assembly protein,chr17,10583648,10600885
ENSG00000100116,GCAT,glycine C-acetyltransferase,chr22,38203911,38213183
ENSG00000120254,MTHFD1L,methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1-like,chr6,151186814,151423023
ENSG00000198721,ECI2,enoyl-CoA delta isomerase 2,chr6,4115926,4135831
ENSG00000156467,UQCRB,ubiquinol-cytochrome c reductase binding protein,chr8,97238903,97247862
ENSG00000167863,ATP5H,"ATP synthase, H+ transporting, mitochondrial Fo complex, subunit d",chr17,73034954,73043074
ENSG00000167283,ATP5L,"ATP synthase, H+ transporting, mitochondrial Fo complex, subunit G",chr11,118272103,118280562
ENSG00000160124,CCDC58,coiled-coil domain containing 58,chr3,122078435,122102074
ENSG00000131844,MCCC2,methylcrotonoyl-CoA carboxylase 2 (beta),chr5,70883114,70954530
ENSG00000124370,MCEE,methylmalonyl CoA epimerase,chr2,71336805,71357394
ENSG00000124615,MOCS1,molybdenum cofactor synthesis 1,chr6,39872033,39902290
ENSG00000146085,MUT,methylmalonyl CoA mutase,chr6,49398072,49431041
ENSG00000122696,SLC25A51,"solute carrier family 25, member 51",chr9,37887593,37904350
ENSG00000197912,SPG7,spastic paraplegia 7 (pure and complicated autosomal recessive),chr16,89574804,89624174
ENSG00000154518,ATP5G3,"ATP synthase, H+ transporting, mitochondrial Fo complex, subunit C3 (subunit 9)",chr2,176040985,176046490
ENSG00000138138,ATAD1,"ATPase family, AAA domain containing 1",chr10,89512874,89577917
ENSG00000154814,OXNAD1,oxidoreductase NAD-binding domain containing 1,chr3,16306666,16347594
ENSG00000101181,MTG2,mitochondrial ribosome-associated GTPase 2,chr20,60758080,60777810
ENSG00000117593,DARS2,"aspartyl-tRNA synthetase 2, mitochondrial",chr1,173793796,173827682
ENSG00000111639,MRPL51,mitochondrial ribosomal protein L51,chr12,6601315,6602471
ENSG00000173599,PC,pyruvate carboxylase,chr11,66615996,66725847
ENSG00000125246,CLYBL,citrate lyase beta like,chr13,100258917,100545018
ENSG00000135241,PNPLA8,patatin-like phospholipase domain containing 8,chr7,108110865,108168605
ENSG00000103150,MLYCD,malonyl-CoA decarboxylase,chr16,83932729,83949787
ENSG00000145337,PYURF,PIGY upstream reading frame,chr4,89442128,89444952
ENSG00000126768,TIMM17B,translocase of inner mitochondrial membrane 17 homolog B (yeast),chrX,48750729,48755426
ENSG00000106591,MRPL32,mitochondrial ribosomal protein L32,chr7,42971938,42977453
ENSG00000144741,SLC25A26,"solute carrier family 25 (S-adenosylmethionine carrier), member 26",chr3,66119284,66429351
ENSG00000250799,PRODH2,proline dehydrogenase (oxidase) 2,chr19,36290891,36304201
ENSG00000114021,NIT2,"nitrilase family, member 2",chr3,100053561,100074478
ENSG00000267673,FDX1L,ferredoxin 1-like,chr19,10420890,10426691
ENSG00000082212,ME2,"malic enzyme 2, NAD(+)-dependent, mitochondrial",chr18,48405431,48476162
ENSG00000178952,TUFM,"Tu translation elongation factor, mitochondrial",chr16,28853731,28857729
ENSG00000156885,COX6A2,cytochrome c oxidase subunit VIa polypeptide 2,chr16,31439051,31439749
ENSG00000014824,SLC30A9,"solute carrier family 30 (zinc transporter), member 9",chr4,41992522,42089551
ENSG00000144559,TAMM41,"TAM41, mitochondrial translocator assembly and maintenance protein, homolog (S. cerevisiae)",chr3,11831915,11888393
ENSG00000138297,TIMM23,translocase of inner mitochondrial membrane 23 homolog (yeast),chr10,51592080,51623386
ENSG00000155906,RMND1,required for meiotic nuclear division 1 homolog (S. cerevisiae),chr6,151725896,151773316
ENSG00000116688,MFN2,mitofusin 2,chr1,12040237,12073572
ENSG00000187796,DNLZ,DNL-type zinc finger,chr9,139256351,139258263
ENSG00000163528,CHCHD4,coiled-coil-helix-coiled-coil-helix domain containing 4,chr3,14153576,14166371
ENSG00000004779,NDUFAB1,"NADH dehydrogenase (ubiquinone) 1, alpha/beta subcomplex, 1, 8kDa",chr16,23592334,23607639
ENSG00000166743,ACSM1,acyl-CoA synthetase medium-chain family member 1,chr16,20634558,20702578
ENSG00000183513,COA5,cytochrome c oxidase assembly factor 5,chr2,99215785,99224981
ENSG00000173085,COQ2,coenzyme Q2 4-hydroxybenzoate polyprenyltransferase,chr4,84184976,84206067
ENSG00000164494,PDSS2,"prenyl (decaprenyl) diphosphate synthase, subunit 2",chr6,107473760,107780779
ENSG00000113790,EHHADH,"enoyl-CoA, hydratase/3-hydroxyacyl CoA dehydrogenase",chr3,184908411,184971886
ENSG00000213619,NDUFS3,"NADH dehydrogenase (ubiquinone) Fe-S protein 3, 30kDa (NADH-coenzyme Q reductase)",chr11,47600561,47606115
ENSG00000135776,ABCB10,"ATP-binding cassette, sub-family B (MDR/TAP), member 10",chr1,229652328,229694442
ENSG00000131730,CKMT2,"creatine kinase, mitochondrial 2 (sarcomeric)",chr5,80529138,80562217
ENSG00000131368,MRPS25,mitochondrial ribosomal protein S25,chr3,15090018,15106816
ENSG00000177646,ACAD9,"acyl-CoA dehydrogenase family, member 9",chr3,128598332,128631957
ENSG00000133983,COX16,COX16 cytochrome c oxidase assembly homolog (S. cerevisiae),chr14,70791797,70826448
ENSG00000177150,FAM210A,"family with sequence similarity 210, member A",chr18,13663345,13726591
ENSG00000112304,ACOT13,acyl-CoA thioesterase 13,chr6,24667262,24705295
ENSG00000110090,CPT1A,carnitine palmitoyltransferase 1A (liver),chr11,68522087,68609399
ENSG00000198814,GK,glycerol kinase,chrX,30671475,30749577
ENSG00000157326,DHRS4,dehydrogenase/reductase (SDR family) member 4,chr14,24422943,24438488
ENSG00000186314,PRELID2,PRELI domain containing 2,chr5,145135906,145214932
ENSG00000134905,CARS2,"cysteinyl-tRNA synthetase 2, mitochondrial (putative)",chr13,111293756,111358480
ENSG00000146729,GBAS,glioblastoma amplified sequence,chr7,56032269,56067875
ENSG00000099795,NDUFB7,"NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 7, 18kDa",chr19,14676889,14682889
ENSG00000174917,C19orf70,chromosome 19 open reading frame 70,chr19,5678432,5680911
ENSG00000023572,GLRX2,glutaredoxin 2,chr1,193065594,193075244
ENSG00000112996,MRPS30,mitochondrial ribosomal protein S30,chr5,44809026,44815618
ENSG00000130489,SCO2,SCO2 cytochrome c oxidase assembly protein,chr22,50961996,50964868
ENSG00000072506,HSD17B10,hydroxysteroid (17-beta) dehydrogenase 10,chrX,53458205,53461323
ENSG00000137513,NARS2,"asparaginyl-tRNA synthetase 2, mitochondrial (putative)",chr11,78147006,78285909
ENSG00000156990,RPUSD3,RNA pseudouridylate synthase domain containing 3,chr3,9879532,9885702
ENSG00000139531,SUOX,sulfite oxidase,chr12,56391042,56399309
ENSG00000123453,SARDH,sarcosine dehydrogenase,chr9,136528683,136605077
ENSG00000132541,HRSP12,heat-responsive protein 12,chr8,99114566,99129418
ENSG00000176340,COX8A,cytochrome c oxidase subunit VIIIA (ubiquitous),chr11,63742078,63744015
ENSG00000116096,SPR,"sepiapterin reductase (7,8-dihydrobiopterin:NADP+ oxidoreductase)",chr2,73114511,73119289
ENSG00000115204,MPV17,MpV17 mitochondrial inner membrane protein,chr2,27532359,27545969
ENSG00000180011,ZADH2,zinc binding alcohol dehydrogenase domain containing 2,chr18,72909277,72921281
ENSG00000112110,MRPL18,mitochondrial ribosomal protein L18,chr6,160211491,160219461
ENSG00000137124,ALDH1B1,"aldehyde dehydrogenase 1 family, member B1",chr9,38392660,38398662
ENSG00000172586,CHCHD1,coiled-coil-helix-coiled-coil-helix domain containing 1,chr10,75541807,75543406
ENSG00000126953,TIMM8A,translocase of inner mitochondrial membrane 8 homolog A (yeast),chrX,100600643,100603957
ENSG00000078668,VDAC3,voltage-dependent anion channel 3,chr8,42249278,42263455
ENSG00000085491,SLC25A24,"solute carrier family 25 (mitochondrial carrier; phosphate carrier), member 24",chr1,108677343,108742980
ENSG00000060762,MPC1,mitochondrial pyruvate carrier 1,chr6,166778407,166796501
ENSG00000177542,SLC25A22,"solute carrier family 25 (mitochondrial carrier: glutamate), member 22",chr11,790474,798269
ENSG00000151475,SLC25A31,"solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 31",chr4,128651554,128695447
ENSG00000182902,SLC25A18,"solute carrier family 25 (glutamate carrier), member 18",chr22,18043182,18073647
ENSG00000072756,TRNT1,"tRNA nucleotidyl transferase, CCA-adding, 1",chr3,3168599,3190706
ENSG00000119912,IDE,insulin-degrading enzyme,chr10,94211440,94333852
ENSG00000197448,GSTK1,glutathione S-transferase kappa 1,chr7,142960521,142966222
ENSG00000137411,VARS2,"valyl-tRNA synthetase 2, mitochondrial",chr6,30881981,30894235
ENSG00000115541,HSPE1,heat shock 10kDa protein 1,chr2,198364720,198368187
ENSG00000183617,MRPL54,mitochondrial ribosomal protein L54,chr19,3762664,3767563
ENSG00000204316,MRPL38,mitochondrial ribosomal protein L38,chr17,73894723,73901181
ENSG00000167862,ICT1,immature colon carcinoma transcript 1,chr17,73008779,73017356
ENSG00000137409,MTCH1,mitochondrial carrier 1,chr6,36935910,36954327
ENSG00000170855,TRIAP1,TP53 regulated inhibitor of apoptosis 1,chr12,120881763,120884215
ENSG00000132300,PTCD3,pentatricopeptide repeat domain 3,chr2,86333304,86369280
ENSG00000006695,COX10,cytochrome c oxidase assembly homolog 10 (yeast),chr17,13972718,14111996
ENSG00000121057,AKAP1,A kinase (PRKA) anchor protein 1,chr17,55162552,55198710
ENSG00000171861,RNMTL1,RNA methyltransferase like 1,chr17,685512,695741
ENSG00000004455,AK2,adenylate kinase 2,chr1,33473540,33502512
ENSG00000175606,TMEM70,transmembrane protein 70,chr8,74888376,74895018
ENSG00000084092,NOA1,nitric oxide associated 1,chr4,57829515,57843826
ENSG00000050393,MCUR1,mitochondrial calcium uniporter regulator 1,chr6,13786780,13814792
ENSG00000111843,TMEM14C,transmembrane protein 14C,chr6,10723147,10731362
ENSG00000109390,NDUFC1,"NADH dehydrogenase (ubiquinone) 1, subcomplex unknown, 1, 6kDa",chr4,140211070,140223705
ENSG00000132313,MRPL35,mitochondrial ribosomal protein L35,chr2,86426555,86440477
ENSG00000170906,NDUFA3,"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 3, 9kDa",chr19,54606159,54610281
ENSG00000148459,PDSS1,"prenyl (decaprenyl) diphosphate synthase, subunit 1",chr10,26986594,27035726
ENSG00000122912,SLC25A16,"solute carrier family 25 (mitochondrial carrier; Graves disease autoantigen), member 16",chr10,70242089,70287280
ENSG00000164898,C7orf55,chromosome 7 open reading frame 55,chr7,139025877,139031065
ENSG00000005187,ACSM3,acyl-CoA synthetase medium-chain family member 3,chr16,20775311,20808479
ENSG00000156170,NDUFAF6,"NADH dehydrogenase (ubiquinone) complex I, assembly factor 6",chr8,96037213,96070944
ENSG00000109424,UCP1,"uncoupling protein 1 (mitochondrial, proton carrier)",chr4,141481049,141489959
ENSG00000164466,SFXN1,sideroflexin 1,chr5,174905513,174955621
ENSG00000182512,GLRX5,glutaredoxin 5,chr14,96001322,96011055
ENSG00000187024,PTRH1,peptidyl-tRNA hydrolase 1 homolog (S. cerevisiae),chr9,130476226,130477936
ENSG00000181991,MRPS11,mitochondrial ribosomal protein S11,chr15,89010683,89021861
ENSG00000196236,XPNPEP3,"X-prolyl aminopeptidase (aminopeptidase P) 3, putative",chr22,41253084,41328823
ENSG00000164951,PDP1,pyruvate dehyrogenase phosphatase catalytic subunit 1,chr8,94929082,94938296
ENSG00000167969,ECI1,enoyl-CoA delta isomerase 1,chr16,2289872,2301602
ENSG00000183032,SLC25A21,"solute carrier family 25 (mitochondrial oxoadipate carrier), member 21",chr14,37147125,37641865
ENSG00000197119,SLC25A29,"solute carrier family 25 (mitochondrial carnitine/acylcarnitine carrier), member 29",chr14,100757452,100772860
ENSG00000162241,SLC25A45,"solute carrier family 25, member 45",chr11,65142662,65151172
ENSG00000196636,ACN9,ACN9 homolog (S. cerevisiae),chr7,96745904,96811075
ENSG00000101166,SLMO2,slowmo homolog 2 (Drosophila),chr20,57608199,57617901
ENSG00000013306,SLC25A39,"solute carrier family 25, member 39",chr17,42396992,42402217
ENSG00000119013,NDUFB3,"NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 3, 12kDa",chr2,201936461,201950473
ENSG00000076043,REXO2,RNA exonuclease 2,chr11,114310107,114321000
ENSG00000171766,GATM,glycine amidinotransferase (L-arginine:glycine amidinotransferase),chr15,45653321,45670980
ENSG00000132286,TIMM10B,translocase of inner mitochondrial membrane 10 homolog B (yeast),chr11,6502676,6505911
ENSG00000104835,SARS2,"seryl-tRNA synthetase 2, mitochondrial",chr19,39405903,39421536
ENSG00000016391,CHDH,choline dehydrogenase,chr3,53850323,53880420
ENSG00000173141,MRPL57,mitochondrial ribosomal protein L57,chr13,21750371,21753220
ENSG00000213563,C8orf82,chromosome 8 open reading frame 82,chr8,145751602,145754458
ENSG00000103356,EARS2,"glutamyl-tRNA synthetase 2, mitochondrial",chr16,23533333,23568696
ENSG00000137106,GRHPR,glyoxylate reductase/hydroxypyruvate reductase,chr9,37422706,37436986
ENSG00000103707,MTFMT,mitochondrial methionyl-tRNA formyltransferase,chr15,65293849,65321977
ENSG00000049883,PTCD2,pentatricopeptide repeat domain 2,chr5,71616193,71655180
ENSG00000093144,ECHDC1,enoyl CoA hydratase domain containing 1,chr6,127609856,127664754
ENSG00000112855,HARS2,"histidyl-tRNA synthetase 2, mitochondrial",chr5,140071010,140078903
ENSG00000189043,NDUFA4,"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 4, 9kDa",chr7,10971579,10979813
ENSG00000186010,NDUFA13,"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 13",chr19,19627018,19639013
ENSG00000163382,APOA1BP,apolipoprotein A-I binding protein,chr1,156561557,156564091
ENSG00000178307,TMEM11,transmembrane protein 11,chr17,21101262,21117908
ENSG00000073169,SELO,selenoprotein O,chr22,50639407,50656045
ENSG00000161653,NAGS,N-acetylglutamate synthase,chr17,42082031,42086436
ENSG00000133835,HSD17B4,hydroxysteroid (17-beta) dehydrogenase 4,chr5,118788137,118878030
ENSG00000003509,NDUFAF7,"NADH dehydrogenase (ubiquinone) complex I, assembly factor 7",chr2,37458773,37476303
ENSG00000065154,OAT,ornithine aminotransferase,chr10,126085871,126107545
ENSG00000136897,MRPL50,mitochondrial ribosomal protein L50,chr9,104152248,104160919
ENSG00000131174,COX7B,cytochrome c oxidase subunit VIIb,chrX,77154960,77160881
ENSG00000146282,RARS2,"arginyl-tRNA synthetase 2, mitochondrial",chr6,88224095,88299735
ENSG00000204237,OXLD1,oxidoreductase-like domain containing 1,chr17,79632065,79633618
ENSG00000147592,LACTB2,"lactamase, beta 2",chr8,71549500,71581447
ENSG00000174886,NDUFA11,"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 11, 14.7kDa",chr19,5891286,5904024
ENSG00000175756,AURKAIP1,aurora kinase A interacting protein 1,chr1,1309109,1310818
ENSG00000170791,CHCHD7,coiled-coil-helix-coiled-coil-helix domain containing 7,chr8,57124314,57131176
ENSG00000182199,SHMT2,serine hydroxymethyltransferase 2 (mitochondrial),chr12,57623355,57628718
ENSG00000065911,MTHFD2,"methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase",chr2,74425689,74442424
ENSG00000176623,RMDN1,regulator of microtubule dynamics 1,chr8,87484577,87521009
ENSG00000021826,CPS1,"carbamoyl-phosphate synthase 1, mitochondrial",chr2,211342405,211543831
ENSG00000180992,MRPL14,mitochondrial ribosomal protein L14,chr6,44081372,44095191
ENSG00000130349,C6orf203,chromosome 6 open reading frame 203,chr6,107349375,107372790
ENSG00000160439,RDH13,retinol dehydrogenase 13 (all-trans/9-cis),chr19,55555691,55580914
ENSG00000188917,TRMT2B,tRNA methyltransferase 2 homolog B (S. cerevisiae),chrX,100264333,100307105
ENSG00000062582,MRPS24,mitochondrial ribosomal protein S24,chr7,43906156,43909145
ENSG00000183978,COA3,cytochrome c oxidase assembly factor 3,chr17,40949635,40950743
ENSG00000104687,GSR,glutathione reductase,chr8,30535579,30585486
ENSG00000167136,ENDOG,endonuclease G,chr9,131580778,131584955
ENSG00000105552,BCAT2,"branched chain amino-acid transaminase 2, mitochondrial",chr19,49298318,49314320
ENSG00000172171,TEFM,"transcription elongation factor, mitochondrial",chr17,29226000,29233286
ENSG00000167107,ACSF2,acyl-CoA synthetase family member 2,chr17,48503518,48552206
ENSG00000100416,TRMU,tRNA 5-methylaminomethyl-2-thiouridylate methyltransferase,chr22,46731297,46753237
ENSG00000175110,MRPS22,mitochondrial ribosomal protein S22,chr3,139062860,139075887
ENSG00000002549,LAP3,leucine aminopeptidase 3,chr4,17578926,17609590
ENSG00000148672,GLUD1,glutamate dehydrogenase 1,chr10,88809958,88854776
ENSG00000117305,HMGCL,3-hydroxymethyl-3-methylglutaryl-CoA lyase,chr1,24128366,24151949
ENSG00000189283,FHIT,fragile histidine triad,chr3,59735035,61237133
ENSG00000090263,MRPS33,mitochondrial ribosomal protein S33,chr7,140705960,140714781
ENSG00000151413,NUBPL,nucleotide binding protein-like,chr14,32030590,32330429
ENSG00000083099,LYRM2,LYR motif containing 2,chr6,90341942,90348474
ENSG00000156968,MPV17L,MPV17 mitochondrial membrane protein-like,chr16,15489610,15503543
ENSG00000179271,GADD45GIP1,"growth arrest and DNA-damage-inducible, gamma interacting protein 1",chr19,13064969,13068068
ENSG00000108064,TFAM,"transcription factor A, mitochondrial",chr10,60144902,60158990
ENSG00000059573,ALDH18A1,"aldehyde dehydrogenase 18 family, member A1",chr10,97365685,97416567
ENSG00000151093,OXSM,"3-oxoacyl-ACP synthase, mitochondrial",chr3,25831562,25836025
ENSG00000137944,CCBL2,cysteine conjugate-beta lyase 2,chr1,89401455,89458643
ENSG00000143374,TARS2,"threonyl-tRNA synthetase 2, mitochondrial (putative)",chr1,150459839,150480085
ENSG00000136270,TBRG4,transforming growth factor beta regulator 4,chr7,45139698,45151346
ENSG00000164983,TMEM65,transmembrane protein 65,chr8,125323158,125384940
ENSG00000125995,ROMO1,reactive oxygen species modulator 1,chr20,34287231,34288902
ENSG00000126432,PRDX5,peroxiredoxin 5,chr11,64085559,64089295
ENSG00000120675,DNAJC15,"DnaJ (Hsp40) homolog, subfamily C, member 15",chr13,43597361,43683306
ENSG00000162972,C2orf47,chromosome 2 open reading frame 47,chr2,200820039,200828847
ENSG00000181061,HIGD1A,"HIG1 hypoxia inducible domain family, member 1A",chr3,42824399,42846027
ENSG00000174109,C16orf91,chromosome 16 open reading frame 91,chr16,1469744,1470801
ENSG00000140983,RHOT2,ras homolog family member T2,chr16,718082,724174
ENSG00000160785,SLC25A44,"solute carrier family 25, member 44",chr1,156163722,156182587
ENSG00000116882,HAO2,hydroxyacid oxidase 2 (long chain),chr1,119911401,119936751
ENSG00000155463,OXA1L,oxidase (cytochrome c) assembly 1-like,chr14,23235730,23240998
ENSG00000164209,SLC25A46,"solute carrier family 25, member 46",chr5,110074753,110098484
ENSG00000240857,RDH14,retinol dehydrogenase 14 (all-trans/9-cis/11-cis),chr2,18735988,18741959
ENSG00000156411,C14orf2,chromosome 14 open reading frame 2,chr14,104378624,104387903
ENSG00000169239,CA5B,"carbonic anhydrase VB, mitochondrial",chrX,15756411,15805748
ENSG00000068120,COASY,CoA synthase,chr17,40714091,40718299
ENSG00000230055,CISD3,CDGSH iron sulfur domain 3,chr17,36886509,36891858
ENSG00000100577,GSTZ1,glutathione S-transferase zeta 1,chr14,77787229,77797940
ENSG00000160471,COX6B2,cytochrome c oxidase subunit VIb polypeptide 2 (testis),chr19,55861069,55866182
ENSG00000167699,GLOD4,glyoxalase domain containing 4,chr17,662548,685571
ENSG00000060971,ACAA1,acetyl-CoA acyltransferase 1,chr3,38164200,38178733
ENSG00000005469,CROT,carnitine O-octanoyltransferase,chr7,86974950,87029112
ENSG00000258429,PDF,peptide deformylase (mitochondrial),chr16,69362523,69364498
